0.287304;0.162806;10.055.647
0.316035;0.047884;10.084.377
0.258574;0.153229;10.180.145
0.363919;0.067038;9.959.879
0.248997;0.143652;10.160.992
0.316035;0.134075;10.199.299
0.277727;0.153229;10.132.261
0.268151;0.067038;9.921.572
0.268151;0.067038;9.921.572
0.277727;0.124498;9.921.572
0.268151;0.086191;9.864.111
0.296881;0.172383;10.055.647
0.268151;0.067038;10.189.722
0.268151;0.191536;10.735.600
0.325611;0.095768;11.118.672
1.110.910;-0.019154;13.962.984
0.632069;0.143652;15.782.578
0.086191;0.086191;11.607.090
-0.938527;0.000000;8.121.132
-1.762.132;0.172383;5.372.589
0.363919;0.239420;0.450110
0.928950;0.239420;-1.168.370
-0.057461;0.181959;3.236.961
0.047884;-0.057461;9.777.920
0.497994;0.296881;13.407.530
0.603339;0.095768;17.353.174
1.034.295;0.124498;19.278.112
-0.220267;0.172383;16.759.413
0.210690;0.076614;11.530.476
-0.354342;0.191536;-0.134075
0.038307;0.067038;-0.134075
0.363919;0.220267;-0.076614
-0.402226;0.153229;1.886.631
0.373495;0.134075;13.187.263
0.172383;0.124498;18.646.044
0.603339;0.076614;19.603.724
0.373495;0.124498;17.228.676
0.306458;0.124498;11.664.551
0.191536;0.181959;7.000.646
-0.067038;0.134075;-0.737414
0.220267;0.114922;-0.316035
0.019154;0.105345;2.298.434
0.191536;0.076614;7.833.828
0.373495;0.114922;18.339.584
0.440533;0.124498;19.603.724
0.478840;0.153229;19.460.072
0.153229;0.114922;11.961.432
0.248997;0.095768;7.192.182
0.124498;0.124498;1.551.443
-0.076614;0.124498;-0.526724
0.038307;0.114922;2.384.625
0.229843;0.105345;7.498.640
0.335188;0.105345;18.023.550
0.478840;0.134075;19.603.724
0.450110;0.162806;19.517.532
0.373495;0.162806;17.506.403
0.134075;0.143652;7.259.220
0.143652;0.086191;2.039.860
0.000000;0.134075;-0.248997
0.067038;0.153229;-0.450110
0.220267;0.134075;7.134.721
0.287304;0.162806;12.583.924
0.440533;0.124498;17.736.246
0.478840;0.191536;19.546.263
0.430956;0.114922;17.583.017
0.229843;0.143652;12.775.460
0.067038;0.134075;2.365.471
0.019154;0.153229;-0.009577
0.134075;0.143652;-0.421380
0.268151;0.105345;6.924.031
0.258574;0.124498;12.287.044
0.363919;0.095768;17.314.867
0.507571;0.143652;19.603.724
0.421380;0.114922;17.630.901
0.268151;0.114922;13.158.532
0.172383;0.095768;7.728.483
0.009577;0.134075;0.124498
0.067038;0.134075;-0.354342
0.095768;0.114922;2.193.089
0.392649;0.086191;16.893.488
0.430956;0.162806;19.603.724
0.478840;0.105345;19.603.724
0.306458;0.124498;13.484.144
0.229843;0.105345;8.044.518
0.076614;0.095768;3.141.193
0.067038;0.143652;-0.316035
0.067038;0.114922;2.106.898
0.239420;0.143652;6.349.423
0.239420;0.134075;11.702.858
0.430956;0.181959;19.507.956
0.450110;0.153229;19.603.724
0.440533;0.134075;17.841.591
0.229843;0.095768;8.312.668
0.095768;0.124498;3.495.534
0.047884;0.162806;0.574608
0.076614;0.114922;2.020.706
0.201113;0.143652;6.119.579
0.287304;0.114922;11.377.247
0.373495;0.114922;16.175.226
0.459687;0.134075;19.603.724
0.411803;0.143652;17.927.782
0.316035;0.134075;14.010.868
0.124498;0.134075;3.859.453
0.057461;0.134075;0.756568
0.114922;0.105345;1.934.515
0.287304;0.095768;11.051.635
0.383072;0.105345;15.868.769
0.440533;0.143652;19.201.498
0.316035;0.124498;14.211.981
0.229843;0.105345;8.916.007
0.105345;0.105345;4.242.526
0.067038;0.114922;0.000000
0.095768;0.114922;1.886.631
0.268151;0.086191;10.726.024
0.363919;0.134075;15.524.004
0.421380;0.114922;19.603.724
0.229843;0.124498;9.203.311
0.229843;0.124498;9.203.311
0.114922;0.124498;4.558.560
0.076614;0.143652;1.177.947
0.105345;0.153229;1.819.593
0.181959;0.143652;5.430.049
0.287304;0.124498;10.429.143
0.478840;0.134075;19.603.724
0.392649;0.162806;18.234.240
0.229843;0.114922;9.528.923
0.114922;0.114922;4.893.748
0.076614;0.134075;1.426.944
0.162806;0.124498;5.209.783
0.239420;0.124498;10.132.261
0.344765;0.162806;14.872.781
0.450110;0.124498;19.603.724
0.411803;0.114922;18.320.431
0.344765;0.114922;14.767.436
0.248997;0.114922;9.864.111
0.076614;0.095768;1.656.788
0.067038;0.105345;0.383072
0.105345;0.124498;1.695.095
0.258574;0.095768;9.797.073
0.354342;0.143652;14.547.170
0.450110;0.143652;19.507.956
0.411803;0.153229;18.397.045
0.354342;0.105345;14.968.549
