time,x1,y1,x2,y2,z1,z2,z3,z4,z5,z6,z7,z8,anomaly
0.0,1.5,0.0,1.5,0.0,1.472780863773741,1.453275732584525,0.9436179535719619,1.144711715455961,-1.4597610269545402,-0.7896552421795082,-1.5076284692072233,1.1243407098748115,0
0.015,1.499832553107678,-0.02223965826876502,1.499832553107678,-0.02223965826876502,1.5053786825931712,1.5685915059880402,0.9812894292325396,1.0990149352715173,-1.4623507364957518,-0.8435861095291953,-1.441638639896202,1.141144029888853,0
0.03,1.4993353880607938,-0.043963840667320876,1.4993353880607938,-0.043963840667320876,1.4417857091896786,1.5930142077556506,1.0483207746570655,1.0876545492625305,-1.5028677599186966,-0.8017205632423341,-1.406107249821861,1.1098145752436221,0
0.045,1.4985161737820647,-0.06518098488540361,1.4985161737820647,-0.06518098488540361,1.5173010746993483,1.4538452194901004,0.9202022205296503,1.148922582732058,-1.4702449836698197,-0.7780533615104167,-1.5376898574208866,1.267828627709509,0
0.06,1.4973824473834423,-0.08590030344000604,1.4973824473834423,-0.08590030344000604,1.467350512887502,1.4932405284622121,0.9733323046511148,1.0745979921084214,-1.4501416070119515,-0.7588556597756595,-1.4481541726420004,1.150956224001963,0
0.075,1.4959416041990496,-0.10613170933789437,1.4959416041990496,-0.10613170933789437,1.4813569167093859,1.4734482891635412,0.8957453825275707,1.1086468424714164,-1.4459212586081718,-0.8402630693028179,-1.3448787973347962,1.1813439331892306,0
0.09,1.4942008848411241,-0.12588573763654537,1.4942008848411241,-0.12588573763654537,1.4641155542296542,1.4731889310978752,0.975852200638287,1.0948355704137687,-1.5117928828533047,-0.6833767208691757,-1.415877261047719,1.2843376669868156,0
0.105,1.4921673653768301,-0.14517340009561863,1.4921673653768301,-0.14517340009561863,1.5847812746022771,1.5514627781483232,0.7868493283359044,1.1895555369310489,-1.4118759119948585,-0.658270562393511,-1.418210948667813,1.3036994537381945,0
0.12,1.4898479556727713,-0.16400616028363968,1.4898479556727713,-0.16400616028363968,1.4891730944358745,1.4242498784044653,0.8557950591862696,1.0645729645827624,-1.3598102286532647,-0.6332557599071671,-1.3710788316851614,1.2296822301767993,0
0.135,1.487249394640926,-0.1823958833409753,1.487249394640926,-0.1823958833409753,1.434363848193131,1.5105728791877413,0.7621986661714345,1.123572257827281,-1.4265396891455393,-0.6380667218053188,-1.257255356348263,1.2511797159568356,0
0.15,1.4843782356945272,-0.2003547408239058,1.4843782356945272,-0.2003547408239058,1.5255054812996867,1.5207901410598206,0.7848559391876684,1.0929927520257714,-1.3839143132921086,-0.6543976378770316,-1.2824380143127023,1.3193971583953874,0
0.16499999999999998,1.4812408471248568,-0.21789514409705224,1.4812408471248568,-0.21789514409705224,1.4201986646263056,1.4741332884447658,0.7684757371548763,1.0441682381688666,-1.428543790030506,-0.6992855229573682,-1.2946897147503886,1.3319247297558683,0
