-0.013498;-0.009510;0.149331
-0.023075;0.000067;-0.961578
-0.032652;-0.009510;-1.938.413
-0.032652;0.009644;-2.675.827
-0.051805;-0.019087;-2.436.407
-0.023075;-0.009510;-1.909.682
0.005656;0.019220;0.158908
0.015232;-0.009510;1.202.780
0.015232;0.000067;2.007.232
0.053540;0.028797;2.782.953
0.063117;0.028797;2.409.458
0.034386;0.028797;1.614.583
-0.013498;-0.009510;0.723940
-0.003921;-0.038240;-1.335.073
-0.032652;-0.019087;-2.216.140
-0.032652;0.000067;-2.627.943
-0.023075;-0.019087;-2.618.366
-0.032652;-0.009510;-1.564.917
0.005656;-0.009510;-0.521045
-0.003921;0.009644;0.609018
0.015232;0.009644;2.217.921
0.043963;0.038374;2.658.455
0.034386;0.028797;2.131.730
-0.023075;0.000067;0.254676
-0.013498;-0.009510;-0.731735
-0.023075;-0.028664;-2.417.253
-0.032652;-0.009510;-2.666.250
-0.013498;-0.019087;-2.474.714
-0.042228;-0.009510;-1.986.297
0.034386;0.000067;-0.090089
0.024809;0.009644;1.030.397
0.015232;0.000067;1.882.733
0.015232;0.019220;2.428.612
0.053540;0.009644;2.486.073
0.024809;0.000067;1.815.696
-0.013498;0.009644;0.848438
-0.023075;-0.028664;-1.124.384
-0.023075;-0.028664;-2.034.181
-0.032652;0.000067;-2.608.789
-0.013498;-0.019087;-2.321.485
-0.042228;0.000067;-1.651.109
-0.013498;-0.009510;-0.750889
0.034386;0.000067;0.340868
0.034386;0.009644;2.150.884
0.024809;0.038374;2.581.841
0.063117;-0.009510;2.648.878
0.015232;-0.009510;1.442.201
-0.013498;-0.009510;0.446213
-0.032652;0.019220;-0.578506
-0.013498;-0.009510;-2.292.754
-0.032652;0.000067;-2.685.403
-0.023075;-0.019087;-2.551.328
-0.023075;-0.009510;-2.053.334
-0.003921;-0.038240;-0.310355
0.015232;0.009644;0.810131
0.034386;0.028797;1.767.812
0.005656;0.019220;2.639.301
0.053540;0.019220;2.533.957
0.063117;0.009644;2.007.232
0.015232;-0.019087;1.087.858
-0.023075;0.000067;-0.952002
-0.003921;-0.019087;-1.833.068
-0.013498;-0.028664;-2.493.867
-0.032652;-0.009510;-2.426.830
-0.013498;-0.009510;-1.746.877
-0.032652;-0.019087;-0.913694
-0.032652;-0.009510;0.111024
0.043963;0.009644;2.064.692
0.034386;-0.019087;2.514.803
0.053540;0.019220;2.351.997
0.034386;0.009644;1.691.197
-0.003921;0.000067;0.676056
-0.003921;0.000067;-1.354.227
-0.003921;-0.028664;-2.120.372
-0.023075;-0.019087;-2.599.212
-0.032652;-0.038240;-2.627.943
-0.042228;-0.009510;-2.149.102
-0.013498;-0.009510;-0.492314
0.005656;0.000067;0.522827
0.034386;0.028797;1.566.699
0.024809;0.009644;2.591.417
0.024809;0.028797;2.533.957
0.024809;0.009644;2.112.576
-0.013498;0.009644;0.206792
-0.032652;-0.009510;-0.808350
-0.032652;-0.019087;-2.340.638
