0.402226;0.191536;9.998.186
0.316035;0.124498;9.184.157
0.344765;0.153229;9.318.233
0.306458;0.134075;10.333.375
0.373495;0.153229;9.605.537
0.354342;0.153229;9.730.036
0.354342;0.134075;10.065.224
0.373495;0.143652;10.304.645
0.335188;0.162806;9.883.265
0.363919;0.153229;9.710.882
0.344765;0.114922;9.777.920
0.354342;0.143652;10.074.800
0.325611;0.134075;10.036.493
0.344765;0.143652;9.902.418
0.325611;0.143652;9.835.381
0.363919;0.134075;10.026.917
0.354342;0.134075;9.979.033
0.373495;0.162806;9.787.497
0.325611;0.153229;9.873.688
0.344765;0.143652;10.084.377
0.363919;0.124498;10.122.684
0.363919;0.143652;9.883.265
0.316035;0.134075;9.787.497
0.363919;0.124498;9.902.418
0.335188;0.162806;10.084.377
0.354342;0.153229;9.844.957
0.354342;0.153229;9.844.957
0.373495;0.134075;9.864.111
0.344765;0.162806;9.950.302
0.344765;0.143652;10.093.954
0.335188;0.114922;9.979.033
0.316035;0.162806;9.835.381
0.354342;0.153229;10.084.377
0.363919;0.153229;10.093.954
0.344765;0.143652;9.931.149
0.344765;0.124498;9.844.957
0.363919;0.143652;9.979.033
0.373495;0.124498;10.036.493
0.373495;0.134075;10.026.917
0.363919;0.153229;9.864.111
0.373495;0.162806;9.873.688
0.335188;0.134075;10.007.763
0.363919;0.134075;10.065.224
0.363919;0.134075;9.950.302
0.316035;0.143652;9.854.534
0.316035;0.134075;9.873.688
0.344765;0.124498;10.017.340
0.354342;0.153229;10.026.917
0.354342;0.143652;9.940.725
0.363919;0.162806;9.854.534
0.363919;0.153229;9.959.879
0.344765;0.143652;10.055.647
0.354342;0.153229;9.931.149
0.363919;0.143652;9.873.688
0.344765;0.143652;9.873.688
0.354342;0.143652;9.931.149
0.344765;0.134075;9.959.879
0.363919;0.124498;9.892.841
0.335188;0.134075;10.036.493
0.344765;0.153229;10.026.917
0.316035;0.153229;9.988.609
0.354342;0.162806;9.854.534
0.363919;0.153229;10.103.531
0.363919;0.143652;10.093.954
0.344765;0.143652;9.758.766
0.344765;0.172383;9.806.650
0.354342;0.134075;9.950.302
0.344765;0.153229;10.046.070
0.344765;0.124498;9.931.149
0.363919;0.153229;10.017.340
0.354342;0.143652;10.017.340
0.354342;0.134075;9.873.688
0.354342;0.124498;9.662.998
0.354342;0.143652;9.758.766
0.354342;0.143652;10.189.722
0.373495;0.143652;10.180.145
0.363919;0.143652;10.007.763
0.363919;0.114922;9.825.804
0.354342;0.134075;9.979.033
0.354342;0.134075;10.132.261
0.354342;0.143652;9.979.033
0.335188;0.124498;9.768.343
0.363919;0.143652;10.007.763
0.354342;0.134075;10.208.876
0.373495;0.162806;9.959.879
0.354342;0.153229;9.787.497
0.354342;0.143652;9.768.343
0.363919;0.143652;9.921.572
0.354342;0.153229;10.122.684
0.363919;0.153229;9.979.033
0.363919;0.172383;9.816.227
0.354342;0.143652;10.007.763
0.354342;0.143652;10.122.684
0.383072;0.134075;9.988.609
0.354342;0.143652;9.883.265
0.363919;0.143652;9.883.265
0.373495;0.143652;10.132.261
0.373495;0.153229;10.304.645
0.354342;0.134075;9.672.575
0.354342;0.162806;9.634.268
0.392649;0.153229;10.228.029
0.363919;0.143652;10.113.108
0.354342;0.143652;9.816.227
0.344765;0.153229;9.691.729
0.335188;0.134075;10.132.261
0.363919;0.134075;10.247.183
0.373495;0.153229;9.883.265
0.344765;0.134075;9.758.766
0.363919;0.143652;9.816.227
0.383072;0.153229;9.950.302
0.354342;0.153229;9.940.725
0.373495;0.143652;9.959.879
0.392649;0.153229;10.036.493
0.363919;0.162806;10.017.340
0.392649;0.172383;9.959.879
0.383072;0.143652;9.921.572
0.354342;0.153229;9.902.418
0.363919;0.134075;9.969.456
0.354342;0.191536;9.931.149
0.354342;0.134075;9.902.418
0.354342;0.162806;10.017.340
0.383072;0.143652;10.074.800
0.363919;0.153229;9.988.609
0.363919;0.172383;9.902.418
0.344765;0.162806;9.854.534
0.373495;0.124498;9.873.688
