0.239420;1.197.101;9.768.343
0.258574;1.216.254;9.844.957
0.316035;1.216.254;9.931.149
0.325611;1.206.678;9.988.609
0.296881;1.225.831;10.007.763
0.306458;1.216.254;9.883.265
0.239420;1.206.678;9.864.111
0.325611;1.216.254;9.816.227
0.306458;1.197.101;9.787.497
0.268151;1.216.254;9.797.073
0.229843;1.216.254;9.844.957
0.316035;1.187.524;9.835.381
0.258574;1.216.254;9.777.920
0.220267;1.225.831;9.883.265
0.296881;1.225.831;9.864.111
0.316035;1.216.254;9.835.381
0.268151;1.206.678;9.816.227
0.306458;1.216.254;9.844.957
0.325611;1.225.831;9.777.920
0.239420;1.235.408;9.777.920
0.268151;1.225.831;9.777.920
0.335188;1.206.678;9.806.650
0.268151;1.235.408;9.873.688
0.248997;1.225.831;9.844.957
0.325611;1.235.408;9.864.111
0.296881;1.225.831;9.911.995
0.258574;1.225.831;9.902.418
0.268151;1.235.408;9.873.688
0.316035;1.225.831;9.883.265
0.335188;1.225.831;9.902.418
0.306458;1.235.408;9.854.534
0.316035;1.244.985;9.883.265
0.287304;1.244.985;9.873.688
0.268151;1.244.985;9.825.804
0.287304;1.244.985;9.787.497
0.268151;1.244.985;9.883.265
0.277727;1.235.408;9.921.572
0.277727;1.225.831;9.921.572
0.316035;1.225.831;10.046.070
0.306458;1.225.831;10.065.224
0.316035;1.216.254;10.017.340
0.296881;1.244.985;9.959.879
0.296881;1.244.985;9.950.302
0.296881;1.244.985;9.959.879
0.287304;1.225.831;9.959.879
0.277727;1.235.408;9.844.957
0.268151;1.225.831;9.835.381
0.316035;1.244.985;9.854.534
0.325611;1.206.678;9.873.688
0.287304;1.254.562;9.902.418
0.258574;1.244.985;9.844.957
0.268151;1.225.831;9.825.804
0.296881;1.225.831;9.835.381
0.306458;1.206.678;9.864.111
0.277727;1.216.254;9.806.650
0.296881;1.225.831;9.730.036
0.248997;1.216.254;9.720.459
0.277727;1.197.101;9.749.189
0.316035;1.206.678;9.797.073
0.287304;1.216.254;9.854.534
0.258574;1.225.831;9.864.111
0.277727;1.206.678;9.854.534
0.277727;1.216.254;9.787.497
0.248997;1.206.678;9.816.227
0.277727;1.225.831;9.825.804
0.344765;1.225.831;9.825.804
0.335188;1.235.408;9.825.804
0.268151;1.206.678;9.911.995
0.296881;1.216.254;9.921.572
0.306458;1.216.254;9.931.149
0.277727;1.235.408;9.911.995
0.296881;1.235.408;9.883.265
0.325611;1.225.831;9.902.418
0.287304;1.206.678;9.892.841
0.248997;1.244.985;9.883.265
0.220267;1.216.254;9.911.995
0.287304;1.216.254;9.988.609
0.306458;1.225.831;9.950.302
0.287304;1.235.408;9.902.418
0.248997;1.244.985;9.768.343
0.296881;1.206.678;9.758.766
0.296881;1.225.831;9.787.497
0.296881;1.235.408;9.825.804
0.344765;1.235.408;9.864.111
0.296881;1.216.254;9.835.381
0.296881;1.235.408;9.806.650
0.248997;1.225.831;9.816.227
0.258574;1.235.408;9.787.497
0.287304;1.225.831;9.835.381
0.306458;1.225.831;9.959.879
0.316035;1.235.408;9.969.456
0.296881;1.254.562;10.055.647
0.277727;1.264.138;10.160.992
0.325611;1.244.985;10.026.917
0.287304;1.235.408;9.911.995
0.239420;1.235.408;9.864.111
0.287304;1.225.831;9.864.111
0.344765;1.225.831;9.825.804
0.335188;1.225.831;9.825.804
0.229843;1.225.831;9.825.804
0.296881;1.197.101;9.797.073
0.344765;1.225.831;9.730.036
0.296881;1.206.678;9.730.036
0.306458;1.206.678;9.730.036
0.363919;1.216.254;9.787.497
0.325611;1.197.101;9.883.265
0.268151;1.254.562;9.950.302
0.258574;1.206.678;9.950.302
0.296881;1.216.254;9.902.418
0.268151;1.225.831;9.835.381
0.248997;1.206.678;9.797.073
0.296881;1.187.524;9.797.073
0.316035;1.206.678;9.844.957
0.287304;1.225.831;9.950.302
0.325611;1.235.408;9.969.456
0.316035;1.225.831;9.911.995
0.306458;1.225.831;9.911.995
0.296881;1.225.831;9.902.418
0.296881;1.225.831;9.864.111
0.296881;1.235.408;9.825.804
0.258574;1.244.985;9.835.381
0.296881;1.225.831;9.835.381
0.296881;1.235.408;9.883.265
0.277727;1.206.678;9.835.381
0.306458;1.225.831;9.844.957
0.277727;1.206.678;9.844.957
0.277727;1.225.831;9.844.957
0.325611;1.235.408;9.864.111
0.325611;1.235.408;9.864.111
0.268151;1.225.831;9.873.688
0.344765;1.235.408;9.864.111
0.316035;1.206.678;9.854.534
0.239420;1.235.408;9.854.534
0.306458;1.197.101;9.844.957
0.325611;1.244.985;9.844.957
0.325611;1.244.985;9.892.841
0.277727;1.225.831;9.911.995
0.296881;1.235.408;9.873.688
0.287304;1.216.254;9.835.381
0.306458;1.216.254;9.873.688
0.335188;1.244.985;9.921.572
0.296881;1.244.985;9.940.725
0.306458;1.235.408;9.950.302
0.316035;1.235.408;9.979.033
0.287304;1.225.831;9.959.879
0.287304;1.216.254;9.950.302
0.248997;1.216.254;9.892.841
0.277727;1.225.831;9.854.534
0.258574;1.216.254;9.806.650
0.277727;1.216.254;9.768.343
0.258574;1.254.562;9.730.036
0.296881;1.225.831;9.749.189
0.325611;1.225.831;9.758.766
0.335188;1.216.254;9.797.073
0.363919;1.216.254;9.825.804
0.335188;1.235.408;9.768.343
0.277727;1.235.408;9.720.459
0.268151;1.216.254;9.797.073
0.325611;1.225.831;9.825.804
0.325611;1.206.678;9.864.111
0.354342;1.244.985;10.132.261
0.421380;1.254.562;10.323.798
0.450110;1.254.562;10.697.293
0.440533;1.292.869;11.281.479
0.248997;1.331.176;12.469.003
0.114922;1.398.214;13.388.376
0.009577;1.455.675;15.342.045
0.651223;1.704.672;18.847.157
0.699107;1.675.941;19.201.498
0.881066;1.570.596;19.182.344
0.181959;1.829.170;16.855.181
-2.059.013;1.407.791;15.083.470
-0.909797;1.695.095;13.139.379
1.771.709;1.063.026;10.180.145
0.296881;1.110.910;6.588.843
-1.934.515;0.507571;4.721.366
-1.522.712;0.555455;2.154.782
2.260.126;0.000000;-0.086191
-1.723.825;-0.229843;-2.403.779
-1.733.402;-0.239420;-2.413.355
-1.723.825;-0.210690;-2.269.703
