time_s,acc_base_ms2,acc_tip_ms2
0,-0.36637740084311,3.70256049188072
0.0009765625,-0.327125656095948,3.64926559480126
0.001953125,-0.289875167099442,3.56287176164085
0.0029296875,-0.255497532574143,3.45497352631981
0.00390625,-0.223568963495698,3.31727320702965
0.0048828125,-0.187736081568207,3.15293938668663
0.005859375,-0.158710869637932,2.97373230012352
0.0068359375,-0.134094717589821,2.78128511460716
0.0078125,-0.112886505810227,2.57203537972862
0.0087890625,-0.0957643563427587,2.345653362593
0.009765625,-0.083021829513516,2.10523826631004
0.0107421875,-0.0701156357803007,1.84858316930229
0.01171875,-0.0636723662295004,1.57563216241295
0.0126953125,-0.0655299300827642,1.28053361924584
0.013671875,-0.0730522523202558,0.978585965952226
0.0146484375,-0.0834683204569479,0.671046502909013
0.015625,-0.0976791108526846,0.373530574163743
0.0166015625,-0.111211421576943,0.0826713964551172
0.017578125,-0.12309526154181,-0.233684904852561
0.0185546875,-0.139715435592141,-0.538202218690566
0.01953125,-0.154979365555253,-0.833165340104751
0.0205078125,-0.168811770764794,-1.15736370531624
0.021484375,-0.18376633772036,-1.46267788855141
0.0224609375,-0.196617471662964,-1.7492477223069
0.0234375,-0.208359139648881,-2.03810089079445
0.0244140625,-0.222570749608483,-2.28853671995705
0.025390625,-0.231702941147294,-2.53230803457802
0.0263671875,-0.234601887551751,-2.78605239836281
0.02734375,-0.230961191145386,-3.00214736906593
0.0283203125,-0.225399854270424,-3.20597045866554
0.029296875,-0.21414137133738,-3.40527718512123
0.0302734375,-0.202717321602311,-3.55603640524452
0.03125,-0.190071808783021,-3.68967693296974
0.0322265625,-0.175899880615677,-3.80825536696022
0.033203125,-0.161639379946198,-3.88499062506264
0.0341796875,-0.149343478170838,-3.94630520788734
0.03515625,-0.132223191348519,-3.99298422781532
0.0361328125,-0.116206290809121,-4.01686757055824
0.037109375,-0.0999642709769865,-4.01803439108436
0.0380859375,-0.0879058564581533,-3.98522251097267
0.0390625,-0.0747689927496572,-3.92036049810951
0.0400390625,-0.0677704686798712,-3.82916515318458
0.041015625,-0.0617736081161161,-3.70449917761391
0.0419921875,-0.0599306436755319,-3.56149571386879
0.04296875,-0.0597446697332521,-3.40271203962868
0.0439453125,-0.0633533621706625,-3.22260730711525
0.044921875,-0.068652580169644,-3.03065197912758
0.0458984375,-0.0813956657924314,-2.81691043821876
0.046875,-0.0953708688296934,-2.57660644499367
0.0478515625,-0.110663297263589,-2.32140558210915
0.048828125,-0.122930469600167,-2.05119340864723
0.0498046875,-0.139558183638062,-1.77013044802254
0.05078125,-0.153794559327569,-1.49674790350502
0.0517578125,-0.169958608833756,-1.20940559355324
0.052734375,-0.180648821083512,-0.895974986234359
0.0537109375,-0.187637525288071,-0.589717261472396
0.0546875,-0.189582201329674,-0.279839925447158
0.0556640625,-0.190634297815766,0.0224524773865423
0.056640625,-0.189832600442376,0.328968741020509
0.0576171875,-0.18519060560843,0.645188815912553
0.05859375,-0.175168874350991,0.925727613291093
0.0595703125,-0.162878143278565,1.20898348840172
0.060546875,-0.143252062288727,1.50230712445671
0.0615234375,-0.119236508993115,1.75075215848381
0.0625,-0.0864713067688604,2.0189727023452
0.0634765625,-0.0531369174399038,2.27197486909325
0.064453125,-0.0130080037318726,2.48369652779991
0.0654296875,0.0323138622067312,2.70843488725121
0.06640625,0.0818743606529574,2.90090949090416
0.0673828125,0.131825981052909,3.06719476731712
0.068359375,0.185781103881393,3.23625809701378
0.0693359375,0.233193991097007,3.37371236833031
0.0703125,0.27894879630426,3.49547535928185
0.0712890625,0.328875583919082,3.60419971497948
0.072265625,0.376424980672393,3.6725588515609
0.0732421875,0.418629152091537,3.72837788613731
0.07421875,0.455286813291107,3.76195961984093
0.0751953125,0.482392621549163,3.76390082391197
0.076171875,0.507786673816238,3.75900752099449
0.0771484375,0.529078764232192,3.73226553948814
0.078125,0.544377428802047,3.68150050195152
0.0791015625,0.546393555911575,3.61887223275597
0.080078125,0.537407321246658,3.52744872125084
0.0810546875,0.522353393348251,3.41108948739464
0.08203125,0.506320578368698,3.27761203797752
0.0830078125,0.488167059930358,3.11606771501
0.083984375,0.466391695054565,2.93995196374352
0.0849609375,0.434441608699356,2.76100666078026
0.0859375,0.394709450515304,2.56355649980003
0.0869140625,0.349929971011672,2.35805255921776
0.087890625,0.304818881066833,2.14875132592613
0.0888671875,0.263372523101364,1.9208828881591
0.08984375,0.219669324668441,1.67501956971581
0.0908203125,0.17256876579145,1.41311080010826
0.091796875,0.128281814368759,1.14140505345757
0.0927734375,0.0893634756527285,0.868886478266068
0.09375,0.0601584327838759,0.596555359682389
0.0947265625,0.0384487373254637,0.325355686268159
0.095703125,0.0168424019090275,0.0534218475430688
0.0966796875,-0.00514529706319768,-0.223288349786452
0.09765625,-0.0236192221321722,-0.498578779378585
0.0986328125,-0.0332611041643282,-0.778585664907149
0.099609375,-0.0329251314081808,-1.06094389406746
0.1005859375,-0.0256097732611557,-1.32246845213478
0.1015625,-0.0158388546236416,-1.57749586550301
0.1025390625,-0.00212468221193154,-1.81810861078804
0.103515625,0.0180550174287895,-2.03163044897621
0.1044921875,0.0477869858465533,-2.24439042059486
0.10546875,0.083555144580398,-2.45130746809547
0.1064453125,0.121661429616008,-2.64241497961586
0.107421875,0.154383880408798,-2.82274859396522
0.1083984375,0.184368250282798,-2.97722309080666
0.109375,0.215661284836326,-3.10415213553017
0.1103515625,0.24921557060102,-3.20764582602089
0.111328125,0.282744867118392,-3.27505653349464
0.1123046875,0.316369694980178,-3.32204168287819
0.11328125,0.343078208478485,-3.35639875380104
0.1142578125,0.365767550977264,-3.36526625601356
0.115234375,0.388593864949737,-3.35827987639015
0.1162109375,0.412653428824935,-3.33417456595009
0.1171875,0.429584038766418,-3.27234428373878
0.1181640625,0.439058852704559,-3.18180196730202
0.119140625,0.439011884244476,-3.0658137127549
0.1201171875,0.430277807029281,-2.91871803251808
0.12109375,0.422113162787948,-2.75706809012001
0.1220703125,0.41633482030252,-2.58164256064003
0.123046875,0.404228729518447,-2.38938968626564
0.1240234375,0.387041253360305,-2.17955034224098
0.125,0.365153325112853,-1.95299070326393
0.1259765625,0.34337259581903,-1.70662503687447
0.126953125,0.320499730618988,-1.4411867186219
0.1279296875,0.298893583329711,-1.16679459063118
0.12890625,0.268546176465545,-0.910904698053054
0.1298828125,0.237582219155822,-0.62994372097557
0.130859375,0.207076681169067,-0.319607846418075
0.1318359375,0.174660039456878,-0.0460890866607943
0.1328125,0.144342494519744,0.238702572902986
0.1337890625,0.117019025000129,0.524268575033494
0.134765625,0.0869331707678179,0.811625964960404
0.1357421875,0.0566628401599268,1.1176397279113
0.13671875,0.0283934710047583,1.3919888213485
0.1376953125,0.00806191083634298,1.6386347487777
0.138671875,-0.0132401433341761,1.9088824466079
0.1396484375,-0.0329288380720278,2.14946443589623
0.140625,-0.0586957434692045,2.34859044106896
0.1416015625,-0.0853973353781362,2.57611376794273
0.142578125,-0.112930009750332,2.76936871560509
0.1435546875,-0.134429561583008,2.93192941697533
0.14453125,-0.159152003613915,3.10869724305565
0.1455078125,-0.186228575793709,3.24072558434898
0.146484375,-0.215577083317246,3.34815008195335
0.1474609375,-0.244710313765015,3.45400840791161
0.1484375,-0.27482979246756,3.51727659257347
0.1494140625,-0.301276939598527,3.55821377786095
0.150390625,-0.334323065964188,3.57630044969017
0.1513671875,-0.369562047211136,3.55821258576805
0.15234375,-0.40931944796225,3.52574975045616
0.1533203125,-0.446067380396332,3.46667820962364
0.154296875,-0.48584355661055,3.373161382994
0.1552734375,-0.521095710483994,3.2705014422744
0.15625,-0.560363190857377,3.13935238870079
0.1572265625,-0.597161608425583,2.9753559306472
0.158203125,-0.633455055443253,2.79857141526634
0.1591796875,-0.661669927326645,2.594428129515
0.16015625,-0.683683591572251,2.36198837312157
0.1611328125,-0.701776939121689,2.12178165467674
0.162109375,-0.717629271236863,1.865215487799
0.1630859375,-0.732798355308976,1.60034508260185
0.1640625,-0.743789690224137,1.32010430844719
0.1650390625,-0.743837075916733,1.00920600446159
0.166015625,-0.740426021305527,0.684840925058671
0.1669921875,-0.731620448318924,0.364792384228059
0.16796875,-0.715156155315842,0.0368640907316885
0.1689453125,-0.692998486248459,-0.309998385587386
0.169921875,-0.662864464012589,-0.643316857495955
0.1708984375,-0.621859627453293,-0.971644453683547
0.171875,-0.571786838261094,-1.30138903109138
0.1728515625,-0.522074657169785,-1.62011402098244
0.173828125,-0.465288716045823,-1.94760697332924
0.1748046875,-0.40346743413588,-2.27509706465309
0.17578125,-0.336316543308701,-2.58114521948402
0.1767578125,-0.26366897174498,-2.86690943686073
0.177734375,-0.183746057239976,-3.14349501577919
0.1787109375,-0.109533252803292,-3.38598959890907
0.1796875,-0.0336549493052622,-3.59914844481056
0.1806640625,0.0415476386866907,-3.80286305395668
0.181640625,0.114825574072395,-3.97696202246254
0.1826171875,0.183578920873199,-4.12658493963783
0.18359375,0.25720093897203,-4.26105063406532
